Codebuch VFB Aufgabe,
,
,
Wert,meaning
edgelist,
from,von welchem Verein und aus welchem Land kommt der Spieler ursprünglich 
to ,ID des Spielers Trikot/Rückennummer
weight,"Transfersumme in 100.000 Euro Schritten, gerundet falls abweichend."
season,transferfenster nur erste Jahreszahl des Fensters als JJJJ verwenden.
,
nodelist,
id,Rücken/Trikotnumer/Vereinsname/Nationalität
name,Spieler oder Vereinsname
country,Land
type1,Spieler 
type2,Verein
,
,
NA,"definiert fehlende Werte, bei der Datenerhebung das Feld einfach leer lassen, R rechnet NAs (missing values) automatisch raus.."
